athlete_id,first_name,last_name,country,gender,weight_category,height,weight
837,Dionysios,ILIADIS,GREECE,M,,180.0,
3395,Mark,HUIZINGA,NETHERLANDS,M,,190.0,
325,Ilse,HEYLEN,BELGIUM,F,,162.0,
49477,Maria,TSELARIDOU,GREECE,F,,0.0,
840,Ioulietta,BOUKOUVALA,GREECE,F,,170.0,
323,Catherine,JACQUES,BELGIUM,F,,176.0,
3409,Georgi,GEORGIEV,BULGARIA,M,,168.0,
40787,Jose Vicbart,GERALDINO ROSSELLO,DOMINICAN REPUBLIC,M,,0.0,
857,Yoel,RAZVOZOV,ISRAEL,M,,175.0,
44378,David,FERNANDEZ,COSTA RICA,M,,0.0,
7515,Rudimar,FLEMING,VENEZUELA,F,,175.0,
26324,Gella,VANDECAVEYE,BELGIUM,F,,0.0,
46942,Cedric,CLAVERIE,FRANCE,M,,0.0,
863,Siarhei,SHUNDZIKAU,BELARUS,M,,180.0,
3937,Yuxiang,LIU,PEOPLE'S REPUBLIC OF CHINA,F,,0.0,
49506,Elsayed,ABOUMEDAN,EGYPT,M,,0.0,
361,Milos,MIJALKOVIC,SERBIA,M,,173.0,
7023,Maria,KARAGIANNOPOULOU,GREECE,F,,160.0,
11634,Akram,SHAH,INDIA,M,,0.0,
4470,Henriette,MOLLER,SOUTH AFRICA,F,,165.0,
6008,Sanna,ASKELOF,SWEDEN,F,,156.0,
13689,Muratbek,KIPSHAKBAYEV,KAZAKHSTAN,M,,0.0,
889,Hesham,MESBAH,EGYPT,M,,182.0,
11643,Won Hee,LEE,REPUBLIC OF KOREA,M,,176.0,
2427,Daniela,POLZIN,BRAZIL,F,,155.0,
383,Alina,DUMITRU,ROMANIA,F,,158.0,
2433,Akbarov,EGAMNAZAR,UZBEKISTAN,M,,0.0,
4483,Khishigbat,ERDENET-OD,MONGOLIA,F,,,
388,Vitalii,MAKAROV,RUSSIAN FEDERATION,M,,0.0,
6534,Fabiane Mayumi,HUKUDA STRUBREITER,AUSTRIA,F,,,
4487,Vsevolods,ZELONIJS,LATVIA,M,,175.0,
48007,Alexandre,LEE,BRAZIL,M,,0.0,
9096,Reza,CHAH KHANDAGH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,
12169,Ariel,SGANGA,ARGENTINA,M,,0.0,
15240,Annabelle,EURANIE,FRANCE,F,,170.0,
37261,Bektas,DEMIREL,TÜRKIYE,M,,0.0,
4494,Jose,CAMACHO,VENEZUELA,M,,163.0,
401,Claudia,HEILL,AUSTRIA,F,,,
52630,Ryoko,TANI,JAPAN,F,,0.0,
5527,Siarhei,NOVIKAU,BELARUS,M,,,
12696,Liubov,BRULETOVA,RUSSIAN FEDERATION,F,,0.0,
10650,Masoud,HAJI AKHONDZADEH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,
11674,Masahiko,TOMOUCHI,JAPAN,M,,0.0,
410,Frederique,JOSSINET,FRANCE,F,,160.0,
414,Armen,NAZARYAN,ARMENIA,M,,168.0,
29088,Adriana,DADCI SMOLINIEC,POLAND,F,,0.0,
1955,Khasanbi,TAOV,RUSSIAN FEDERATION,M,,0.0,
419,Lucie,DECOSSE,FRANCE,F,,168.0,
11176,Noureddine,YAGOUBI,ALGERIA,M,,160.0,
31657,Bazarbek,DONBAY,KAZAKHSTAN,M,,0.0,
48040,Amarilis,SAVON CARMENATE,UNITED STATES OF AMERICA,F,,0.0,
424,Cecilia,BLANCO,SPAIN,F,,173.0,
428,Anatoly,LARYUKOV,RUSSIAN FEDERATION,M,,0.0,
35757,Akapei,LATU,TONGA,M,,175.0,
431,Leandro,GUILHEIRO,BRAZIL,M,,175.0,
2479,Ramziddin,SAYIDOV,UZBEKISTAN,M,,188.0,
954,Yurileidys,LUPETEY COBAS,CUBA,F,,165.0,
1980,Hee-Tae,HWANG,REPUBLIC OF KOREA,M,,180.0,
958,Jessica,GARCIA,PUERTO RICO,F,,165.0,
52673,Oscar,PENAS,SPAIN,M,,,
10184,Sergei,ASCHWANDEN,SWITZERLAND,M,,0.0,
52682,Richard,LEON VIZCAYA,VENEZUELA,M,,,
52687,Hiroshi,IZUMI,JAPAN,M,,,
52688,Brian,OLSON,UNITED STATES OF AMERICA,M,,,
466,David,ALARZA,SPAIN,M,,186.0,
52692,Keith Laurence,MORGAN,CANADA,M,,,
471,Kiyoshi,UEMATSU,SPAIN,M,,173.0,
52695,Frederic,DEMONTFAUCON,FRANCE,M,,,
18392,Siarhei,KUKHARENKA,BELARUS,M,,0.0,
26593,Deborah,GRAVENSTIJN,NETHERLANDS,F,,0.0,
28642,Gabriel,ARTEAGA RISQUET,ITALY,M,,170.0,
52706,Hanatou,OUELOGO K,BURKINA FASO,F,,,
17892,Ernst,LARAQUE,GABON,M,,0.0,
5331,Antonia,MOREIRA,ANGOLA,F,,175.0,
52716,Anna,VON HARNIER,GERMANY,F,,,
4084,Bourama,MARIKO,MALI,M,,0.0,
6143,Nuno,DELGADO,PORTUGAL,M,,0.0,
