contest_id,competition_id,competition_name,date,location,weight_category_x,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round,athlete_id,first_name,last_name,country,gender,weight_category_y,height,weight,role
464161,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,182,52914,52914,0,,,2,182,Joao,NETO,PORTUGAL,M,,176.0,,blue
464162,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,11643,11643,0,,,1,52914,Victor,BIVOL,REPUBLIC OF MOLDOVA,M,,,,blue
464163,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,5202,11643,11643,0,,,2,5202,Gennadiy,BILODID,UKRAINE,M,,0.0,,blue
464164,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11643,590,11643,0,,,3,11643,Won Hee,LEE,REPUBLIC OF KOREA,M,,176.0,,blue
464165,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,11643,388,11643,0,,,0,11643,Won Hee,LEE,REPUBLIC OF KOREA,M,,176.0,,blue
464166,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52914,431,431,0,,,0,52914,Victor,BIVOL,REPUBLIC OF MOLDOVA,M,,,,blue
464167,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,388,765,388,0,,,3,388,Vitalii,MAKAROV,RUSSIAN FEDERATION,M,,0.0,,blue
464168,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,4329,52915,0,,,3,52915,Damdin,SULDBAYAR,MONGOLIA,M,,,,blue
464169,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,388,388,0,,,2,52915,Damdin,SULDBAYAR,MONGOLIA,M,,,,blue
464170,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,15555,590,590,0,,,0,15555,Daniel,FERNANDES,FRANCE,M,,0.0,,blue
464172,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,857,17706,857,0,,,3,857,Yoel,RAZVOZOV,ISRAEL,M,,175.0,,blue
464173,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,431,857,431,0,,,2,431,Leandro,GUILHEIRO,BRAZIL,M,,175.0,,blue
464175,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,765,835,765,0,,,3,765,David,KEVKHISHVILI,GEORGIA,M,,0.0,,blue
464176,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,52915,765,765,0,,,2,52915,Damdin,SULDBAYAR,MONGOLIA,M,,,,blue
464177,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,765,431,431,0,,,1,765,David,KEVKHISHVILI,GEORGIA,M,,0.0,,blue
464179,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,590,428,590,0,,,3,590,Jimmy,PEDRO,UNITED STATES OF AMERICA,M,,0.0,,blue
464180,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,5202,590,590,0,,,2,5202,Gennadiy,BILODID,UKRAINE,M,,0.0,,blue
464181,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,182,590,590,0,,,1,182,Joao,NETO,PORTUGAL,M,,176.0,,blue
464183,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,2685,52682,2685,0,,,3,2685,Hamed,MALEK MOHAMMADI,ISLAMIC REPUBLIC OF IRAN,M,,179.0,,blue
464184,1856,Olympic Games Athens 2004,,"Athens, Greece",-73,182,2685,182,0,,,2,182,Joao,NETO,PORTUGAL,M,,176.0,,blue
464194,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,31657,4909,4909,0,,,3,31657,Bazarbek,DONBAY,KAZAKHSTAN,M,,0.0,,blue
464195,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,38631,4909,4909,0,,,2,38631,Evgenii,STANEV,RUSSIAN FEDERATION,M,,0.0,,blue
464197,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,414,8827,8827,0,,,3,414,Armen,NAZARYAN,ARMENIA,M,,168.0,,blue
464198,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52789,8827,52789,0,,,2,52789,Revazi,ZINTIRIDIS,GREECE,M,,,,blue
464200,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,19702,11634,11634,0,,,3,19702,Taraje,WILLIAMS MURRAY,UNITED STATES OF AMERICA,M,,168.0,,blue
464201,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,58,11634,58,0,,,2,58,Min-Ho,CHOI,REPUBLIC OF KOREA,M,,163.0,,blue
464203,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52788,5225,52788,0,,,3,52788,Oliver,GUSSENBERG,GERMANY,M,,0.0,,blue
464204,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,580,52788,52788,0,,,2,580,Miguel,ALBARRACIN,ARGENTINA,M,,0.0,,blue
